datetime_from,avg(pm10),avg(humidity)
2020-04-26 00:00:00,20.124285714285715,76.83142857142859
2020-04-26 01:00:00,21.620952380952378,79.45428571428572
2020-04-26 02:00:00,24.16047619047619,80.8152380952381
2020-04-26 03:00:00,25.43,80.13952380952381
2020-04-26 04:00:00,25.989523809523803,77.74333333333333
2020-04-26 05:00:00,23.706666666666663,71.87142857142857
2020-04-26 06:00:00,19.599047619047617,65.58285714285715
2020-04-26 07:00:00,17.801904761904762,58.70666666666666
2020-04-26 08:00:00,13.130952380952381,50.41
2020-04-26 09:00:00,9.307142857142857,44.21857142857142
2020-04-26 10:00:00,9.651428571428571,40.3352380952381
2020-04-26 11:00:00,8.432857142857141,38.193333333333335
2020-04-26 12:00:00,9.715238095238094,35.647619047619045
2020-04-26 13:00:00,8.194285714285714,34.784285714285716
2020-04-26 14:00:00,8.375238095238096,34.07
2020-04-26 15:00:00,11.200476190476191,35.60238095238095
2020-04-26 16:00:00,11.863809523809524,41.346666666666664
2020-04-26 17:00:00,17.65238095238095,48.49333333333334
2020-04-26 18:00:00,35.58380952380952,54.191428571428574
2020-04-26 19:00:00,46.48190476190476,54.91714285714287
2020-04-26 20:00:00,52.11142857142857,58.5404761904762
2020-04-26 21:00:00,52.22428571428571,61.96952380952381
2020-04-26 22:00:00,51.73904761904762,64.48857142857143
2020-04-26 23:00:00,51.73428571428572,67.06142857142856
2020-04-27 00:00:00,51.88380952380952,69.08095238095238
2020-04-27 01:00:00,50.93714285714286,71.52
2020-04-27 02:00:00,48.36904761904762,73.96857142857145
2020-04-27 03:00:00,48.43523809523809,74.75333333333336
2020-04-27 04:00:00,49.2547619047619,72.51285714285714
2020-04-27 05:00:00,51.8895238095238,67.7852380952381
2020-04-27 06:00:00,48.99571428571429,62.390952380952385
2020-04-27 07:00:00,42.87095238095239,55.30666666666667
2020-04-27 08:00:00,15.485714285714288,44.96857142857143
2020-04-27 09:00:00,11.27095238095238,38.35857142857143
2020-04-27 10:00:00,10.684761904761904,34.457142857142856
2020-04-27 11:00:00,10.559999999999999,32.06476190476191
2020-04-27 12:00:00,11.557142857142859,30.743333333333332
2020-04-27 13:00:00,11.272380952380953,28.699999999999996
2020-04-27 14:00:00,10.718571428571426,27.045714285714293
2020-04-27 15:00:00,10.213333333333335,26.836190476190474
2020-04-27 16:00:00,13.195238095238096,29.635714285714293
2020-04-27 17:00:00,16.967142857142854,33.37619047619047
2020-04-27 18:00:00,36.462857142857146,39.26571428571428
2020-04-27 19:00:00,35.64952380952381,43.3447619047619
2020-04-27 20:00:00,38.36047619047619,47.76380952380952
2020-04-27 21:00:00,44.854761904761915,52.23238095238095
2020-04-27 22:00:00,46.87523809523809,56.81999999999999
2020-04-27 23:00:00,47.69761904761906,61.77095238095236
2020-04-28 00:00:00,49.00238095238096,65.42285714285714
2020-04-28 01:00:00,48.707619047619055,69.52476190476192
2020-04-28 02:00:00,48.449523809523804,73.14809523809524
2020-04-28 03:00:00,49.70714285714286,73.80000000000001
2020-04-28 04:00:00,49.826666666666675,70.70952380952382
2020-04-28 05:00:00,46.575714285714284,64.72095238095237
2020-04-28 06:00:00,33.28391304347825,57.98478260869565
2020-04-28 07:00:00,21.55608695652174,52.29130434782609
2020-04-28 08:00:00,15.073913043478262,44.54565217391305
2020-04-28 09:00:00,13.620434782608696,38.51
2020-04-28 10:00:00,13.554347826086957,34.63913043478261
2020-04-28 11:00:00,14.569565217391302,33.12826086956522
2020-04-28 12:00:00,14.028695652173912,31.43173913043478
2020-04-28 13:00:00,13.333478260869565,30.149130434782613
2020-04-28 14:00:00,12.706086956521737,30.426956521739132
2020-04-28 15:00:00,13.534347826086956,32.10130434782609
2020-04-28 16:00:00,15.91391304347826,36.36347826086957
2020-04-28 17:00:00,29.20434782608696,42.27086956521739
2020-04-28 18:00:00,62.28217391304347,47.883043478260866
2020-04-28 19:00:00,54.55,52.95304347826086
2020-04-28 20:00:00,43.039130434782614,56.64086956521739
2020-04-28 21:00:00,44.264782608695654,60.18347826086956
2020-04-28 22:00:00,44.94782608695652,64.61173913043478
2020-04-28 23:00:00,46.243043478260866,69.14652173913043
2020-04-29 00:00:00,49.01565217391305,72.49043478260869
2020-04-29 01:00:00,50.29391304347826,75.48739130434782
2020-04-29 02:00:00,49.814782608695644,77.62173913043478
2020-04-29 03:00:00,50.79217391304348,77.33782608695653
2020-04-29 04:00:00,51.841304347826096,74.55826086956523
2020-04-29 05:00:00,49.13608695652174,70.98043478260868
2020-04-29 06:00:00,37.115652173913034,65.8113043478261
2020-04-29 07:00:00,24.96217391304348,59.158695652173904
2020-04-29 08:00:00,19.091363636363635,51.50863636363636
2020-04-29 09:00:00,15.922272727272725,46.01590909090909
2020-04-29 10:00:00,14.608636363636363,42.69363636363636
2020-04-29 11:00:00,14.700869565217394,42.69565217391305
2020-04-29 12:00:00,15.290869565217388,44.0995652173913
2020-04-29 13:00:00,15.290434782608695,47.799130434782604
2020-04-29 14:00:00,18.335217391304344,54.42217391304348
2020-04-29 15:00:00,27.963043478260868,63.1295652173913
2020-04-29 16:00:00,30.073913043478264,70.31304347826085
2020-04-29 17:00:00,33.61739130434782,73.74000000000001
2020-04-29 18:00:00,42.207826086956516,80.65260869565218
2020-04-29 19:00:00,48.14000000000001,90.1182608695652
2020-04-29 20:00:00,51.528695652173916,94.50913043478259
2020-04-29 21:00:00,55.5086956521739,93.50608695652173
2020-04-29 22:00:00,51.16130434782609,93.3991304347826
2020-04-29 23:00:00,53.90130434782609,94.2108695652174
